day_of_week,hour,number_of_rides
Friday,0,46047
Friday,1,26622
Friday,2,14710
Friday,3,9374
Friday,4,10607
Friday,5,37279
Friday,6,111268
Friday,7,197559
Friday,8,234217
Friday,9,163528
Friday,10,159433
Friday,11,203796
Friday,12,248869
Friday,13,258506
Friday,14,269015
Friday,15,324170
Friday,16,404903
Friday,17,450409
Friday,18,375978
Friday,19,271603
Friday,20,187662
Friday,21,146526
Friday,22,134411
Friday,23,117344
Monday,0,33463
Monday,1,19535
Monday,2,11964
Monday,3,8427
Monday,4,10693
Monday,5,38077
Monday,6,109983
Monday,7,207140
Monday,8,250237
Monday,9,154592
Monday,10,142477
Monday,11,178794
Monday,12,212034
Monday,13,213714
Monday,14,217532
Monday,15,262016
Monday,16,368489
Monday,17,473395
Monday,18,370645
Monday,19,257291
Monday,20,173104
Monday,21,122436
Monday,22,82227
Monday,23,46882
Saturday,0,93938
Saturday,1,71192
Saturday,2,41627
Saturday,3,21857
Saturday,4,12772
Saturday,5,18186
Saturday,6,40115
Saturday,7,75471
Saturday,8,136867
Saturday,9,210518
Saturday,10,285141
Saturday,11,343709
Saturday,12,381482
Saturday,13,395843
Saturday,14,397162
Saturday,15,392401
Saturday,16,377487
Saturday,17,348955
Saturday,18,313028
Saturday,19,250513
Saturday,20,185363
Saturday,21,157377
Saturday,22,152902
Saturday,23,133664
Sunday,0,107920
Sunday,1,74422
Sunday,2,47963
Sunday,3,26464
Sunday,4,16990
Sunday,5,18311
Sunday,6,34614
Sunday,7,58456
Sunday,8,98935
Sunday,9,164533
Sunday,10,238723
Sunday,11,300424
Sunday,12,335917
Sunday,13,347319
Sunday,14,352757
Sunday,15,362707
Sunday,16,345848
Sunday,17,311059
Sunday,18,266319
Sunday,19,206245
Sunday,20,148106
Sunday,21,111967
Sunday,22,87249
Sunday,23,55707
Thursday,0,32887
Thursday,1,17226
Thursday,2,9837
Thursday,3,6604
Thursday,4,9232
Thursday,5,40252
Thursday,6,121433
Thursday,7,240990
Thursday,8,292276
Thursday,9,172842
Thursday,10,142691
Thursday,11,173866
Thursday,12,209460
Thursday,13,208150
Thursday,14,211373
Thursday,15,269078
Thursday,16,396732
Thursday,17,516209
Thursday,18,416824
Thursday,19,292345
Thursday,20,201378
Thursday,21,159742
Thursday,22,131801
Thursday,23,81398
Tuesday,0,25111
Tuesday,1,13564
Tuesday,2,7910
Tuesday,3,5601
Tuesday,4,9933
Tuesday,5,44550
Tuesday,6,133730
Tuesday,7,259739
Tuesday,8,305376
Tuesday,9,168235
Tuesday,10,134906
Tuesday,11,164112
Tuesday,12,197401
Tuesday,13,195612
Tuesday,14,196317
Tuesday,15,255307
Tuesday,16,395906
Tuesday,17,521567
Tuesday,18,400636
Tuesday,19,275210
Tuesday,20,184370
Tuesday,21,139222
Tuesday,22,98183
Tuesday,23,54573
Wednesday,0,28058
Wednesday,1,14263
Wednesday,2,8224
Wednesday,3,5883
Wednesday,4,9336
Wednesday,5,43492
Wednesday,6,129422
Wednesday,7,255556
Wednesday,8,306037
Wednesday,9,173132
Wednesday,10,138766
Wednesday,11,171382
Wednesday,12,203975
Wednesday,13,202049
Wednesday,14,208342
Wednesday,15,262651
Wednesday,16,404511
Wednesday,17,535189
Wednesday,18,415407
Wednesday,19,289283
Wednesday,20,200347
Wednesday,21,155404
Wednesday,22,111961
Wednesday,23,62959
