year,member_casual,rideable_type,avg_duration_min
2019,casual,unknown,57.01733903980868
2019,member,unknown,14.327652724361647
2020,casual,classic_bike,26.295952822687518
2020,casual,docked_bike,51.57075477081752
2020,casual,electric_bike,14.292754294399359
2020,member,classic_bike,13.224984063274702
2020,member,docked_bike,13.240808584556763
2020,member,electric_bike,2.296717503781483
2021,casual,classic_bike,28.929319831651345
2021,casual,docked_bike,81.49329923609378
2021,casual,electric_bike,19.824073593374344
2021,member,classic_bike,14.146341591365728
2021,member,docked_bike,2.63
2021,member,electric_bike,12.690818842066921
2022,casual,classic_bike,28.750952013443147
2022,casual,docked_bike,122.71154800139739
2022,casual,electric_bike,16.172388841406534
2022,member,classic_bike,13.910944957417726
2022,member,electric_bike,11.45550358573238
2023,casual,classic_bike,32.01184584190065
2023,casual,docked_bike,182.81380650682746
2023,casual,electric_bike,14.25390880871442
2023,member,classic_bike,13.907734285070337
2023,member,electric_bike,11.13558869158711
2024,casual,classic_bike,38.19213022813103
2024,casual,electric_bike,14.53263012217636
2024,casual,electric_scooter,11.937642903244734
2024,member,classic_bike,14.57750995359721
2024,member,electric_bike,11.227477973405044
2024,member,electric_scooter,8.239688102567573
