year,month,month_number,month_name,member_casual,number_of_rides
2019,2019-01,1,January,casual,4602
2019,2019-01,1,January,member,98670
2019,2019-02,2,February,casual,2638
2019,2019-02,2,February,member,93548
2019,2019-03,3,March,casual,15923
2019,2019-03,3,March,member,149688
2019,2019-04,4,April,casual,47744
2019,2019-04,4,April,member,217566
2019,2019-05,5,May,casual,81624
2019,2019-05,5,May,member,285834
2019,2019-06,6,June,casual,130218
2019,2019-06,6,June,member,345177
2019,2019-07,7,July,casual,175632
2019,2019-07,7,July,member,381683
2019,2019-08,8,August,casual,186889
2019,2019-08,8,August,member,403295
2019,2019-09,9,September,casual,129173
2019,2019-09,9,September,member,364046
2019,2019-10,10,October,casual,71035
2019,2019-10,10,October,member,300751
2019,2019-11,11,November,casual,18729
2019,2019-11,11,November,member,158447
2019,2019-12,12,December,casual,16430
2019,2019-12,12,December,member,138662
2020,2020-01,1,January,casual,7785
2020,2020-01,1,January,member,136099
2020,2020-02,2,February,casual,12870
2020,2020-02,2,February,member,126715
2020,2020-03,3,March,casual,27825
2020,2020-03,3,March,member,115593
2020,2020-04,4,April,casual,23628
2020,2020-04,4,April,member,61148
2020,2020-05,5,May,casual,86909
2020,2020-05,5,May,member,113365
2020,2020-06,6,June,casual,154718
2020,2020-06,6,June,member,188287
2020,2020-07,7,July,casual,269296
2020,2020-07,7,July,member,282184
2020,2020-08,8,August,casual,289661
2020,2020-08,8,August,member,332700
2020,2020-09,9,September,casual,230692
2020,2020-09,9,September,member,302266
2020,2020-10,10,October,casual,145012
2020,2020-10,10,October,member,243641
2020,2020-11,11,November,casual,88099
2020,2020-11,11,November,member,171617
2020,2020-12,12,December,casual,30080
2020,2020-12,12,December,member,101493
2021,2021-01,1,January,casual,18117
2021,2021-01,1,January,member,78717
2021,2021-02,2,February,casual,10131
2021,2021-02,2,February,member,39491
2021,2021-03,3,March,casual,84033
2021,2021-03,3,March,member,144463
2021,2021-04,4,April,casual,136601
2021,2021-04,4,April,member,200629
2021,2021-05,5,May,casual,256916
2021,2021-05,5,May,member,274717
2021,2021-06,6,June,casual,370681
2021,2021-06,6,June,member,358914
2021,2021-07,7,July,casual,442056
2021,2021-07,7,July,member,380354
2021,2021-08,8,August,casual,412671
2021,2021-08,8,August,member,391681
2021,2021-09,9,September,casual,363890
2021,2021-09,9,September,member,392257
2021,2021-10,10,October,casual,257242
2021,2021-10,10,October,member,373984
2021,2021-11,11,November,casual,106928
2021,2021-11,11,November,member,253049
2021,2021-12,12,December,casual,69737
2021,2021-12,12,December,member,177802
2022,2022-01,1,January,casual,18519
2022,2022-01,1,January,member,85250
2022,2022-02,2,February,casual,21416
2022,2022-02,2,February,member,94193
2022,2022-03,3,March,casual,89882
2022,2022-03,3,March,member,194160
2022,2022-04,4,April,casual,126417
2022,2022-04,4,April,member,244832
2022,2022-05,5,May,casual,280415
2022,2022-05,5,May,member,354442
2022,2022-06,6,June,casual,369051
2022,2022-06,6,June,member,400153
2022,2022-07,7,July,casual,406055
2022,2022-07,7,July,member,417432
2022,2022-08,8,August,casual,358924
2022,2022-08,8,August,member,427008
2022,2022-09,9,September,casual,296697
2022,2022-09,9,September,member,404642
2022,2022-10,10,October,casual,208989
2022,2022-10,10,October,member,349696
2022,2022-11,11,November,casual,100770
2022,2022-11,11,November,member,236957
2022,2022-12,12,December,casual,44894
2022,2022-12,12,December,member,136912
2023,2023-01,1,January,casual,40008
2023,2023-01,1,January,member,150293
2023,2023-02,2,February,casual,43016
2023,2023-02,2,February,member,147429
2023,2023-03,3,March,casual,62201
2023,2023-03,3,March,member,196477
2023,2023-04,4,April,casual,147284
2023,2023-04,4,April,member,279305
2023,2023-05,5,May,casual,234181
2023,2023-05,5,May,member,370646
2023,2023-06,6,June,casual,301228
2023,2023-06,6,June,member,418387
2023,2023-07,7,July,casual,331358
2023,2023-07,7,July,member,436292
2023,2023-08,8,August,casual,311129
2023,2023-08,8,August,member,460563
2023,2023-09,9,September,casual,261635
2023,2023-09,9,September,member,404736
2023,2023-10,10,October,casual,177071
2023,2023-10,10,October,member,360042
2023,2023-11,11,November,casual,98392
2023,2023-11,11,November,member,264126
2023,2023-12,12,December,casual,51672
2023,2023-12,12,December,member,172401
2024,2024-01,1,January,casual,24460
2024,2024-01,1,January,member,120413
2024,2024-02,2,February,casual,47163
2024,2024-02,2,February,member,176001
2024,2024-03,3,March,casual,82550
2024,2024-03,3,March,member,219137
2024,2024-04,4,April,casual,131810
2024,2024-04,4,April,member,283215
2024,2024-05,5,May,casual,231150
2024,2024-05,5,May,member,378554
2024,2024-06,6,June,casual,301168
2024,2024-06,6,June,member,409578
2024,2024-07,7,July,casual,320580
2024,2024-07,7,July,member,428422
2024,2024-08,8,August,casual,318385
2024,2024-08,8,August,member,437385
2024,2024-09,9,September,casual,346491
2024,2024-09,9,September,member,474365
2024,2024-10,10,October,casual,216448
2024,2024-10,10,October,member,399832
2024,2024-11,11,November,casual,93062
2024,2024-11,11,November,member,241980
2024,2024-12,12,December,casual,38369
2024,2024-12,12,December,member,139990
