ZIP_Code,Latitude,Longitude
60629,41.7754,-87.71239
60618,41.9543,-87.7200
60632,41.7907,-87.7200
60647,41.9200,-87.6900
60639,41.9200,-87.7700
60608,41.8500,-87.6700
60617,41.7000,-87.5700
60625,41.9700,-87.7000
60623,41.8500,-87.7200
60657,41.9400,-87.6600
60614,41.9200,-87.6500
60641,41.9500,-87.7500
60640,41.9700,-87.6700
60609,41.8000,-87.6500
60651,41.9000,-87.7600
60619,41.7400,-87.6000
60628,41.6800,-87.6400
60616,41.8500,-87.6300
60630,41.9800,-87.7500
60622,41.9000,-87.6700
60637,41.7800,-87.6000
60613,41.9500,-87.6600
60626,42.0100,-87.6600
60649,41.7500,-87.5700
60644,41.8800,-87.7600
60643,41.7000,-87.6700
60610,41.9000,-87.6300
60615,41.8000,-87.6000
60660,42.0000,-87.6700
60659,41.9900,-87.7000
60652,41.7200,-87.7200
60611,41.8900,-87.6200
60624,41.8800,-87.7200
60612,41.8800,-87.6800
60653,41.8200,-87.6000
60605,41.8700,-87.6200
60636,41.7700,-87.6600
60607,41.8700,-87.6500
60621,41.7800,-87.6400
60654,41.8800,-87.6300
60642,41.9000,-87.6600
60601,41.8800,-87.6200
60661,41.8800,-87.6400
60606,41.8800,-87.6300
60602,41.8800,-87.6300
60603,41.8800,-87.6200
60604,41.8700,-87.6200
60631,41.9900,-87.8000
60633,41.6500,-87.5400
60634,41.9400,-87.7900
60638,41.7900,-87.7900
60645,42.0000,-87.6900
60646,41.9900,-87.7600
60655,41.6800,-87.7100
60656,41.9700,-87.8200
60664,41.8800,-87.6200
60666,41.9800,-87.9000
60668,41.8800,-87.6200
60669,41.8800,-87.6200
60670,41.8800,-87.6200
60673,41.8800,-87.6200
60674,41.8800,-87.6200
60675,41.8800,-87.6200
60677,41.8800,-87.6200
60678,41.8800,-87.6200
60680,41.8800,-87.6200
60681,41.8800,-87.6200
60682,41.8800,-87.6200
60684,41.8800,-87.6300
60685,41.8800,-87.6200
60686,41.8800,-87.6200
60687,41.8800,-87.6200
60688,41.8800,-87.6200
60689,41.8800,-87.6200
60690,41.8800,-87.6200
60691,41.8800,-87.6200
60693,41.8800,-87.6200
60694,41.8800,-87.6200
60695,41.8800,-87.6200
60696,41.8800,-87.6200
60697,41.8800,-87.6200
60699,41.8800,-87.6200
60701,41.9900,-87.7900
60706,41.9600,-87.8000
60707,41.9200,-87.7900
60803,41.6900,-87.7000
60804,41.7600,-87.7400
60805,41.7100,-87.7400
